Device ID,Device Type,Location,Event Type,Firmware Version,Timestamp
device_001,gateway,warehouse_a,boot,1.4.2,2026-05-25 09:03:03.718141
device_001,gateway,warehouse_a,alert,1.4.2,2026-05-25 10:56:03.718141
device_001,gateway,warehouse_a,watchdog_reset,1.4.2,2026-05-25 10:19:03.718141
device_002,camera,factory_floor_2,boot,1.4.2,2026-05-25 09:03:03.718141
device_003,sensor,warehouse_b,boot,1.4.2,2026-05-25 09:03:03.718141
device_004,camera,warehouse_b,boot,1.4.2,2026-05-25 09:03:03.718141
device_004,camera,warehouse_b,watchdog_reset,1.4.2,2026-05-25 14:24:03.718141
device_004,camera,warehouse_b,alert,1.4.2,2026-05-25 13:58:03.718141
device_004,camera,warehouse_b,reconnect,1.4.2,2026-05-25 13:41:03.718141
device_005,gateway,warehouse_a,boot,1.4.2,2026-05-25 09:03:03.718141
device_006,sensor,factory_floor_2,boot,1.4.2,2026-05-25 09:03:03.718141
device_006,sensor,factory_floor_2,reconnect,1.4.2,2026-05-25 11:19:03.718141
device_007,sensor,warehouse_a,boot,1.4.2,2026-05-25 09:03:03.718141
device_008,gateway,loading_bay,boot,1.4.2,2026-05-25 09:03:03.718141
device_009,sensor,office_block,boot,1.4.2,2026-05-25 09:03:03.718141
device_009,sensor,office_block,alert,1.4.2,2026-05-25 13:36:03.718141
device_009,sensor,office_block,watchdog_reset,1.4.2,2026-05-25 10:35:03.718141
device_009,sensor,office_block,alert,1.4.2,2026-05-25 13:52:03.718141
device_010,camera,warehouse_a,boot,1.4.2,2026-05-25 09:03:03.718141
device_010,camera,warehouse_a,alert,1.4.2,2026-05-25 14:59:03.718141
device_010,camera,warehouse_a,alert,1.4.2,2026-05-25 14:03:03.718141
device_010,camera,warehouse_a,alert,1.4.2,2026-05-25 12:33:03.718141
device_011,camera,factory_floor_1,boot,1.4.2,2026-05-25 09:03:03.718141
device_011,camera,factory_floor_1,watchdog_reset,1.4.2,2026-05-25 12:18:03.718141
device_011,camera,factory_floor_1,watchdog_reset,1.4.2,2026-05-25 11:53:03.718141
device_012,camera,server_room,boot,1.4.2,2026-05-25 09:03:03.718141
device_012,camera,server_room,reconnect,1.4.2,2026-05-25 12:35:03.718141
device_013,sensor,factory_floor_2,boot,1.4.2,2026-05-25 09:03:03.718141
device_013,sensor,factory_floor_2,watchdog_reset,1.4.2,2026-05-25 11:53:03.718141
device_014,controller,server_room,boot,1.4.2,2026-05-25 09:03:03.718141
device_014,controller,server_room,alert,1.4.2,2026-05-25 11:07:03.718141
device_014,controller,server_room,reconnect,1.4.2,2026-05-25 12:14:03.718141
device_015,sensor,loading_bay,boot,1.4.2,2026-05-25 09:03:03.718141
device_015,sensor,loading_bay,reconnect,1.4.2,2026-05-25 10:35:03.718141
