Device ID,Device Type,Location,Uptime (s),Uptime (hours),Messages Published,Error Count,Queue Depth,Reconnect Count,Connection Status
device_001,gateway,warehouse_a,8027,7.27,453,12,41,6,Online
device_002,camera,factory_floor_2,38989,20.83,356,2,32,11,Offline
device_003,sensor,warehouse_b,6241,1.34,1900,4,6,11,Offline
device_004,camera,warehouse_b,29065,20.12,1959,9,50,5,Offline
device_005,gateway,warehouse_a,70755,18.1,818,8,29,3,Online
device_006,sensor,factory_floor_2,38238,23.29,1380,15,24,4,Offline
device_007,sensor,warehouse_a,15797,6.11,1032,8,30,4,Online
device_008,gateway,loading_bay,53723,1.4,1217,12,23,12,Online
device_009,sensor,office_block,62879,6.15,250,12,49,3,Offline
device_010,camera,warehouse_a,52073,11.97,423,9,21,2,Online
device_011,camera,factory_floor_1,16102,13.9,625,15,37,3,Online
device_012,camera,server_room,22124,10.27,1916,15,33,11,Online
device_013,sensor,factory_floor_2,11324,18.65,716,13,19,11,Online
device_014,controller,server_room,23341,1.84,1611,13,0,4,Online
device_015,sensor,loading_bay,77316,19.28,1317,15,20,10,Online
